record_type,contrast_id,method,config_id,seed,branch,measure,operation,control_value,treatment_value,value,mean,sample_sd,defined_seed_count,expected_seed_count,status
paired_summary,ct_512_minus_128,CT,,,raw_lexical,odd_ring,512_minus_128,,,,-4.5,10.606601717798213,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,raw_lexical,bad_parentheses,512_minus_128,14,14,0,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,raw_lexical,bad_parentheses,512_minus_128,12,11,-1,,,,,defined
paired_summary,ct_512_minus_128,CT,,,raw_lexical,bad_parentheses,512_minus_128,,,,-0.5,0.7071067811865476,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,raw_lexical,both_flags,512_minus_128,3,1,-2,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,raw_lexical,both_flags,512_minus_128,2,1,-1,,,,,defined
paired_summary,ct_512_minus_128,CT,,,raw_lexical,both_flags,512_minus_128,,,,-1.5,0.7071067811865476,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,raw_lexical,syntax_flag,512_minus_128,30,20,-10,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,raw_lexical,syntax_flag,512_minus_128,18,21,3,,,,,defined
paired_summary,ct_512_minus_128,CT,,,raw_lexical,syntax_flag,512_minus_128,,,,-3.5,9.192388155425117,2,2,complete
paired_seed,ct_512_minus_128,CT,,1700,raw_lexical,flagged_strict_valid,512_minus_128,0,0,0,,,,,defined
paired_seed,ct_512_minus_128,CT,,1701,raw_lexical,flagged_strict_valid,512_minus_128,0,0,0,,,,,defined
paired_summary,ct_512_minus_128,CT,,,raw_lexical,flagged_strict_valid,512_minus_128,,,,0,0.0,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,released_comparable,validity,512_minus_128,1.0,0.99,-0.010000000000000009,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,released_comparable,validity,512_minus_128,0.98,0.98,0.0,,,,,defined
paired_summary,ce_512_minus_128,CE,,,released_comparable,validity,512_minus_128,,,,-0.0050000000000000044,0.007071067811865481,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,released_comparable,uniqueness,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,released_comparable,uniqueness,512_minus_128,0.9897959183673469,1.0,0.010204081632653073,,,,,defined
paired_summary,ce_512_minus_128,CE,,,released_comparable,uniqueness,512_minus_128,,,,0.005102040816326536,0.007215375318230085,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,released_comparable,quality,512_minus_128,0.47,0.51,0.040000000000000036,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,released_comparable,quality,512_minus_128,0.46,0.45,-0.010000000000000009,,,,,defined
paired_summary,ce_512_minus_128,CE,,,released_comparable,quality,512_minus_128,,,,0.015000000000000013,0.03535533905932741,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,released_comparable,diversity,512_minus_128,0.8909185857755809,0.8918517859731616,0.0009332001975806969,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,released_comparable,diversity,512_minus_128,0.89462507352632,0.8934535760621176,-0.00117149746420242,,,,,defined
paired_summary,ce_512_minus_128,CE,,,released_comparable,diversity,512_minus_128,,,,-0.00011914863331086156,0.0014882459889943127,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,strict,validity,512_minus_128,0.77,0.72,-0.050000000000000044,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,strict,validity,512_minus_128,0.68,0.71,0.029999999999999916,,,,,defined
paired_summary,ce_512_minus_128,CE,,,strict,validity,512_minus_128,,,,-0.010000000000000064,0.056568542494923775,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,strict,uniqueness,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,strict,uniqueness,512_minus_128,1.0,1.0,0.0,,,,,defined
paired_summary,ce_512_minus_128,CE,,,strict,uniqueness,512_minus_128,,,,0.0,0.0,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,strict,quality,512_minus_128,0.36,0.41,0.04999999999999999,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,strict,quality,512_minus_128,0.36,0.36,0.0,,,,,defined
paired_summary,ce_512_minus_128,CE,,,strict,quality,512_minus_128,,,,0.024999999999999994,0.03535533905932737,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,strict,diversity,512_minus_128,0.8776686105235351,0.8743014497782685,-0.003367160745266551,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,strict,diversity,512_minus_128,0.8786164163701963,0.8814836788983732,0.002867262528176928,,,,,defined
paired_summary,ce_512_minus_128,CE,,,strict,diversity,512_minus_128,,,,-0.00024994910854481134,0.004408402973439117,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,runtime,generation_seconds,512_over_128,14.948143490008079,63.67121792800026,4.259473289814256,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,runtime,generation_seconds,512_over_128,14.051982834003866,53.25517455703812,3.7898690303099376,,,,,defined
paired_summary,ce_512_minus_128,CE,,,runtime,generation_seconds,512_over_128,,,,4.024671160062097,0.33206035636959075,2,2,complete
paired_seed,ce_512_minus_128,CE,,1700,raw_lexical,odd_ring,512_minus_128,12,12,0,,,,,defined
paired_seed,ce_512_minus_128,CE,,1701,raw_lexical,odd_ring,512_minus_128,12,11,-1,,,,,defined
paired_summary,ce_512_minus_128,CE,,,raw_lexical,odd_ring,512_minus_128,,,,-0.5,0.7071067811865476,2,2,complete
